Name:en,Name:fr,Name:es,Prefix,Parent,Icon,Website
Camp Coordination / Management,Coordination / Gestion de Camp,Coordinación y administración de campamentos,CM,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/CM.png,http://www.globalcccmcluster.org
Early Recovery,Relèvement Précoce,Recuperación temprana,ER,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/ER.png,http://er.humanitarianresponse.info
Education,Education,Educación,E,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/E.png,http://education.humanitarianresponse.info
Emergency Shelter and NFI,Abris d'Urgence,Albergue de emergencia y elementos no alimentarios,ES,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/ES.png,https://www.sheltercluster.org
Emergency Telecommunications,Télécommunications d'Urgence,Telecomunicaciones en emergencia,ET,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/ET.png,http://ictemergency.wfp.org
Food Security,Sécurité Alimentaire,Seguridad alimentaria,FS,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/FS.png,http://www.foodsecuritycluster.net
Health,Santé,Salud,H,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/H.png,http://www.who.int/hac/network/global_health_cluster/en/index.html
Logistics,Logistique,Logística,L,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/L.png,http://www.logcluster.org
Nutrition,Nutrition,Nutrición,N,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/N.png,http://www.unicef.org/nutritioncluster/
Protection,Protection,Protección,P,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/P.png,http://www.globalprotectioncluster.org
Water Sanitation Hygiene,"Eau, Assainissement et Hygiène","Agua, saneamiento e higiene",W,,https://www.humanitarianresponse.info/sites/all/themes/humanitarianresponse/images/cluster_icons/96px/red/W.png,http://www.washcluster.info
